cathode TotalCurrent(SSE_n44_des) X,cathode TotalCurrent(SSE_n44_des) Y,cathode TotalCurrent(SSE_n45_des) X,cathode TotalCurrent(SSE_n45_des) Y,cathode TotalCurrent(SSE_n47_des) X,cathode TotalCurrent(SSE_n47_des) Y,cathode TotalCurrent(SSE_n48_des) X,cathode TotalCurrent(SSE_n48_des) Y
3.438603e-15,4.9045443e-09,3.438603e-15,4.904534e-09,3.438603e-15,4.9037724e-09,3.438603e-15,4.9040561e-09
4.4701939e-15,3.1027121e-09,4.4701939e-15,3.1026031e-09,4.4701939e-15,3.1018645e-09,4.4701939e-15,3.1021661e-09
5.8112621e-15,1.7158839e-09,5.8112621e-15,1.715793e-09,5.8112621e-15,1.7149925e-09,5.8112621e-15,1.7154253e-09
7.5546507e-15,8.0409237e-10,7.5546507e-15,8.0405835e-10,7.5546507e-15,8.0323323e-10,7.5546507e-15,8.0359644e-10
9.8210559e-15,3.1731935e-10,9.8210559e-15,3.1721998e-10,9.8210559e-15,3.1644302e-10,9.8210559e-15,3.1683723e-10
1.2767383e-14,1.2096627e-10,1.2767383e-14,1.2085038e-10,1.2767383e-14,1.2008634e-10,1.2767383e-14,1.2046257e-10
1.6597607e-14,6.7718653e-11,1.6597607e-14,6.7624746e-11,1.6597607e-14,6.6815694e-11,1.6597607e-14,6.7194893e-11
2.15769e-14,6.0243969e-11,2.15769e-14,6.0141827e-11,2.15769e-14,5.9341741e-11,2.15769e-14,5.9710383e-11
2.804998e-14,6.046585e-11,2.804998e-14,6.0354082e-11,2.804998e-14,5.9537441e-11,2.804998e-14,5.9909769e-11
3.6464983e-14,6.1220961e-11,3.6464983e-14,6.1112163e-11,3.6464983e-14,6.0268352e-11,3.6464983e-14,6.0660742e-11
4.7404488e-14,6.2265314e-11,4.7404488e-14,6.2146229e-11,4.7404488e-14,6.1284652e-11,4.7404488e-14,6.1689285e-11
6.1625845e-14,6.3727978e-11,6.1625845e-14,6.3597807e-11,6.1625845e-14,6.2704768e-11,6.1625845e-14,6.3126334e-11
8.0113608e-14,6.5752161e-11,8.0113608e-14,6.5611719e-11,8.0113608e-14,6.4673076e-11,8.0113608e-14,6.5113241e-11
1.041477e-13,6.8539325e-11,1.041477e-13,6.8389172e-11,1.041477e-13,6.739375e-11,1.041477e-13,6.7858243e-11
1.3539202e-13,7.2414969e-11,1.3539202e-13,7.2253175e-11,1.3539202e-13,7.1173692e-11,1.3539202e-13,7.1675497e-11
1.7600964e-13,7.7900597e-11,1.7600964e-13,7.7717701e-11,1.7600964e-13,7.6522366e-11,1.7600964e-13,7.7076503e-11
2.2881254e-13,8.5845745e-11,2.2881254e-13,8.5631794e-11,2.2881254e-13,8.4269213e-11,2.2881254e-13,8.4900289e-11
2.9745631e-13,9.771143e-11,2.9745631e-13,9.7455307e-11,2.9745631e-13,9.5843743e-11,2.9745631e-13,9.6590323e-11
3.8669321e-13,1.161643e-10,3.8669321e-13,1.1584388e-10,3.8669321e-13,1.1384645e-10,3.8669321e-13,1.1477062e-10
4.8669321e-13,1.4185693e-10,4.8669321e-13,1.4144765e-10,4.8669321e-13,1.3891227e-10,4.8669321e-13,1.4008631e-10
5.8669321e-13,1.7435185e-10,5.8669321e-13,1.7383067e-10,5.8669321e-13,1.7061415e-10,5.8669321e-13,1.7210473e-10
6.8669321e-13,2.1549931e-10,6.8669321e-13,2.1483702e-10,6.8669321e-13,2.1075891e-10,6.8669321e-13,2.1264928e-10
7.8669321e-13,2.6747244e-10,7.8669321e-13,2.6663143e-10,7.8669321e-13,2.6146568e-10,7.8669321e-13,2.6386096e-10
8.8669321e-13,3.3295391e-10,8.8669321e-13,3.3188872e-10,8.8669321e-13,3.2535129e-10,8.8669321e-13,3.2838268e-10
9.8669321e-13,4.1524948e-10,9.8669321e-13,4.1390131e-10,9.8669321e-13,4.0564027e-10,9.8669321e-13,4.0947079e-10
1.0866932e-12,5.1841798e-10,1.0866932e-12,5.1671429e-10,1.0866932e-12,5.06293e-10,1.0866932e-12,5.1112568e-10
1.1866932e-12,6.4743004e-10,1.1866932e-12,6.4528116e-10,1.1866932e-12,6.3215804e-10,1.1866932e-12,6.3824432e-10
1.2866932e-12,8.0835585e-10,1.2866932e-12,8.0565285e-10,1.2866932e-12,7.891592e-10,1.2866932e-12,7.9680751e-10
1.3866932e-12,1.0085895e-09,1.3866932e-12,1.0051965e-09,1.3866932e-12,9.8450914e-10,1.3866932e-12,9.9410258e-10
1.4866932e-12,1.2571125e-09,1.4866932e-12,1.25286e-09,1.4866932e-12,1.2269669e-09,1.4866932e-12,1.2389738e-09
1.5866932e-12,1.5647976e-09,1.5866932e-12,1.5594826e-09,1.5866932e-12,1.5271439e-09,1.5866932e-12,1.542137e-09
1.6866932e-12,1.9447814e-09,1.6866932e-12,1.9381494e-09,1.6866932e-12,1.897851e-09,1.6866932e-12,1.9165322e-09
1.7866932e-12,2.4128785e-09,1.7866932e-12,2.4046234e-09,1.7866932e-12,2.3545186e-09,1.7866932e-12,2.3777452e-09
1.8866932e-12,2.9880856e-09,1.8866932e-12,2.9778332e-09,1.8866932e-12,2.9156759e-09,1.8866932e-12,2.9444855e-09
1.9866932e-12,3.6931445e-09,1.9866932e-12,3.6804406e-09,1.9866932e-12,3.6035109e-09,1.9866932e-12,3.6391636e-09
