z_left_um,z_right_um,z_center_um,bin_width_um,Count,Edep_sum_keV,LET_keV_per_um,LET_pC_per_um,LateralSpread_um
0.0,2.0,1.0,2.0,6875,19614.543265,0.98072716325,4.364717070245148e-05,0.1
2.0,4.0,3.0,2.0,14173,43130.700473,2.15653502365,9.597638959151853e-05,0.1
4.0,6.0,5.0,2.0,13182,46352.839165,2.31764195825,0.00010314643865239314,0.1
6.0,8.0,7.0,2.0,11128,49113.166997,2.45565834985,0.00010928884525601854,0.1
8.0,10.0,9.0,2.0,9457,55514.592139,2.77572960695,0.00012353358662659149,0.1
10.0,12.0,11.0,2.0,8258,58467.498834,2.9233749417,0.00013010452844480145,0.1
12.0,14.0,13.0,2.0,8489,64552.346655,3.22761733275,0.00014364480761181811,0.1
14.0,16.0,15.0,2.0,8452,66573.787345,3.3286893672500004,0.0001481430090570054,0.1
16.0,18.0,17.0,2.0,7892,66250.583363,3.3125291681499998,0.0001474238009070385,0.1
18.0,20.0,19.0,2.0,7750,67006.667094,3.3503333547,0.00014910627269475483,0.1
20.0,22.0,21.0,2.0,6792,62511.524732,3.1255762365999997,0.00013910347816850486,0.1
22.0,24.0,23.0,2.0,6472,60821.291067,3.04106455335,0.000135342293607306,0.1
24.0,26.0,25.0,2.0,5590,54380.772009,2.7190386004500002,0.0001210105586829181,0.1
26.0,28.0,27.0,2.0,5032,51303.93804,2.565196902,0.00011416384827759965,0.1
28.0,30.0,29.0,2.0,4216,44943.959823,2.2471979911499997,0.00010001133648311855,0.1
30.0,32.0,31.0,2.0,3381,37054.341918,1.8527170958999999,8.245500112398102e-05,0.1
32.0,34.0,33.0,2.0,2502,28380.76159,1.4190380795,6.315415704808706e-05,0.1
34.0,36.0,35.0,2.0,1926,22759.259495,1.13796297475,5.0644935791710606e-05,0.1
36.0,38.0,37.0,2.0,1332,16194.200333,0.8097100166500001,3.603606858312169e-05,0.1
38.0,40.0,39.0,2.0,927,11818.351105,0.59091755525,2.629873054560983e-05,0.1
