z_left_um,z_right_um,z_center_um,bin_width_um,Count,Edep_sum_keV,LET_keV_per_um,LET_pC_per_um,LateralSpread_um
0.0,8.0,4.0,8.0,45358,158211.2499,1.97764062375,8.801471105059541e-05,0.1
8.0,16.0,12.0,8.0,34656,245108.224973,3.0638528121625,0.0001363564829350541,0.1
16.0,24.0,20.0,8.0,28906,256590.066256,3.2073758282,0.00014274396134440106,0.1
24.0,32.0,28.0,8.0,18219,187683.01179,2.3460376473749998,0.00010441018614190432,0.1
32.0,40.0,36.0,8.0,6687,79152.572523,0.9894071565374999,4.4033472992132294e-05,0.1
