z_left_um,z_right_um,z_center_um,z_center_cm,bin_width_um,Count,Edep_sum_keV,LET_keV_per_um,LET_pairs_cm3,LateralSpread_um,LateralSpread_cm
0.0,6.0,3.0,0.00030000000000000003,6.0,27665.0,81858.18766400001,1.3643031277333335,7643240229.330848,125.6153795714864,0.012561537957148641
6.0,12.0,9.0,0.0009000000000000001,6.0,27651.0,114268.46069899999,1.9044743449833332,10638881007.21608,125.79567798344009,0.012579567798344009
12.0,18.0,15.0,0.0015,6.0,28349.0,147802.883198,2.4633813866333334,13772854933.625648,125.74188705911922,0.012574188705911923
18.0,24.0,21.0,0.0021000000000000003,6.0,24882.0,144862.595488,2.4143765914666666,13672692220.080778,124.94003392576842,0.012494003392576843
24.0,30.0,27.0,0.0027,6.0,20673.0,130778.164839,2.17963608065,12339344223.650467,124.96030797002872,0.012496030797002873
30.0,36.0,33.0,0.0033,6.0,16351.0,112647.75332300001,1.8774625553833335,10628560135.717089,124.9610188496703,0.012496101884967031
36.0,42.0,39.0,0.0039000000000000003,6.0,11534.0,85439.090234,1.4239848372333335,7981280358.32831,125.58637696857994,0.012558637696857994
42.0,48.0,45.0,0.0045000000000000005,6.0,6774.0,54145.738758,0.9024289793,5238568479.551143,123.40317576645842,0.012340317576645842
48.0,54.0,51.0,0.0051,6.0,3296.0,29443.426974,0.4907237829,2840920808.2054777,123.57059046585933,0.012357059046585933
54.0,60.0,57.0,0.0057,6.0,1025.0,9487.082478,0.1581180413,883752992.943375,125.76256794122993,0.012576256794122994
