z_left_um,z_right_um,z_center_um,z_center_cm,bin_width_um,Count,Edep_sum_keV,LET_keV_per_um,LET_pairs_cm3,LateralSpread_um,LateralSpread_cm
0.0,12.0,6.0,0.0006000000000000001,12.0,55316.0,196126.648363,1.6343887363583331,9140893690.318726,125.72147967261758,0.012572147967261759
12.0,24.0,18.0,0.0018000000000000002,12.0,53231.0,292665.478686,2.43887898905,13719228758.708006,125.35925710329013,0.012535925710329014
24.0,36.0,30.0,0.003,12.0,37024.0,243425.91816200002,2.0285493180166667,11481443865.540146,124.9742860640661,0.012497428606406612
36.0,48.0,42.0,0.004200000000000001,12.0,18308.0,139584.82899200002,1.163206908266667,6607094329.46933,124.75253095452084,0.012475253095452084
48.0,60.0,54.0,0.0054,12.0,4321.0,38930.509452,0.3244209121,1861574451.819721,124.11959446610635,0.012411959446610636
