z_left_um,z_right_um,z_center_um,z_center_cm,bin_width_um,Count,Edep_sum_keV,LET_keV_per_um,LET_pairs_cm3,LateralSpread_um,LateralSpread_cm
0.0,3.0,1.5,0.00015000000000000001,3.0,10470.0,28415.685521,0.9471895173666667,5259447919.217295,126.17534315689402,0.012617534315689401
3.0,6.0,4.5,0.00045000000000000004,3.0,17195.0,53442.502143000005,1.7814167381000001,10029582313.751043,125.30473238324619,0.012530473238324619
6.0,9.0,7.5,0.00075,3.0,14824.0,54171.679293,1.8057226431,10058623670.86742,125.97442203893456,0.012597442203893456
9.0,12.0,10.5,0.0010500000000000002,3.0,12827.0,60096.781405999995,2.0032260468666663,11220654098.003605,125.62672104710343,0.012562672104710343
12.0,15.0,13.5,0.00135,3.0,15017.0,75110.38104600001,2.5036793682000003,14122623209.553518,125.18658766471832,0.012518658766471832
15.0,18.0,16.5,0.00165,3.0,13332.0,72692.502152,2.4230834050666665,13425821395.70149,126.31062422345947,0.012631062422345948
18.0,21.0,19.5,0.0019500000000000001,3.0,12533.0,71650.98903699999,2.388366301233333,13506268960.077927,125.02846606527251,0.012502846606527252
21.0,24.0,22.5,0.0022500000000000003,3.0,12349.0,73211.606451,2.4403868817,13840879080.888445,124.8457136239038,0.012484571362390381
24.0,27.0,25.5,0.00255,3.0,10876.0,67664.644271,2.2554881423666666,12761438905.963814,124.99613482109251,0.012499613482109252
27.0,30.0,28.5,0.00285,3.0,9797.0,63113.52056799999,2.103784018933333,11920193835.833406,124.90650299225926,0.012490650299225928
30.0,33.0,31.5,0.00315,3.0,8754.0,59645.154057,1.9881718019,11254589995.622131,124.96495822114149,0.01249649582211415
33.0,36.0,34.5,0.0034500000000000004,3.0,7597.0,53002.599266000005,1.766753308866667,10004051116.603607,124.94708775476076,0.012494708775476076
36.0,39.0,37.5,0.0037500000000000003,3.0,6426.0,46942.589894000004,1.5647529964666669,8851313199.774576,125.01012063817149,0.01250101206381715
39.0,42.0,40.5,0.00405,3.0,5108.0,38496.50034,1.283216678,7115765785.591894,126.25986127177129,0.012625986127177129
42.0,45.0,43.5,0.004350000000000001,3.0,3928.0,31039.668213999998,1.0346556071333333,6030403212.296917,123.15466426477253,0.012315466426477253
45.0,48.0,46.5,0.0046500000000000005,3.0,2846.0,23106.070544000002,0.7702023514666667,4448755752.442526,123.71127171080387,0.012371127171080387
48.0,51.0,49.5,0.00495,3.0,1998.0,17319.321421,0.5773107140333333,3383534246.122521,122.81337124295523,0.012281337124295523
51.0,54.0,52.5,0.00525,3.0,1298.0,12124.105553000001,0.4041368517666667,2300407668.2702913,124.62006004856285,0.012462006004856285
54.0,57.0,55.5,0.00555,3.0,671.0,6020.912985000001,0.20069709950000003,1079235860.236416,128.21489966430096,0.012821489966430096
57.0,60.0,58.5,0.00585,3.0,354.0,3466.169493,0.11553898309999999,694434763.403864,121.27594745238973,0.012127594745238973
