EventID,ParticleName,IncidentEnergy_keV,TotalEdep_keV,MaxDepthSiC_um,TrackLength_mm,NumSteps,NumSecondaries,MeanEdepPerStep_keV,EdepStdDev_keV,ParticleStopped,FinalKineticEnergy_keV,EnergyEscapeFraction,BraggPeakDepth_um,BraggPeakIntensity_keV,SecondaryTypes
42,e-,100.000000,100.000000,33.099637,0.057153,14,0,7.142857,4.068923,true,-0.000000,-0.000000,30.866073,15.440979,
43,e-,100.000000,100.000000,17.994377,0.055027,13,0,7.692308,6.103224,true,0.000000,0.000000,16.446268,22.746025,
44,e-,100.000000,100.000000,15.237309,0.065807,17,0,5.882353,3.057379,true,0.000000,0.000000,0.938595,11.212287,
45,e-,100.000000,100.000000,14.750516,0.027673,8,0,12.500000,9.100258,true,0.000000,0.000000,4.188624,31.157668,
46,e-,100.000000,100.000000,23.816981,0.039195,10,0,10.000000,6.858261,true,0.000000,0.000000,20.248871,21.897337,
47,e-,100.000000,100.000000,40.891284,0.056815,14,0,7.142857,5.458223,true,-0.000000,-0.000000,40.250601,17.701159,
48,e-,100.000000,100.000000,27.731126,0.046599,12,0,8.333333,6.991271,true,0.000000,0.000000,23.691162,24.658427,
49,e-,100.000000,100.000000,28.313301,0.055050,13,0,7.692308,6.093020,true,0.000000,0.000000,23.669993,24.529085,
50,e-,100.000000,100.000000,16.172993,0.061726,15,0,6.666667,4.995039,true,-0.000000,-0.000000,12.325177,17.057521,
51,e-,100.000000,100.000000,14.106206,0.064146,15,0,6.666667,4.970300,true,-0.000000,-0.000000,12.630172,21.613778,
52,e-,100.000000,100.000000,36.498920,0.063064,15,0,6.666667,4.730735,true,0.000000,0.000000,35.270171,21.480387,
53,e-,100.000000,100.000000,22.204446,0.047934,12,0,8.333333,6.828041,true,0.000000,0.000000,21.427239,23.433742,
54,e-,100.000000,100.000000,27.976850,0.061673,15,0,6.666667,4.710101,true,0.000000,0.000000,24.174361,18.800218,
55,e-,100.000000,100.000000,33.488073,0.051280,13,0,7.692308,5.717204,true,0.000000,0.000000,28.100119,19.949860,
56,e-,100.000000,100.000000,27.083230,0.048688,12,0,8.333333,5.234786,true,0.000000,0.000000,17.986045,19.205160,
57,e-,100.000000,100.000000,16.638311,0.046965,12,0,8.333333,6.668581,true,-0.000000,-0.000000,16.638311,22.853037,
58,e-,100.000000,100.000000,24.043831,0.048298,12,0,8.333333,7.033847,true,0.000000,0.000000,22.782442,24.792524,
59,e-,100.000000,100.000000,38.227113,0.067750,16,0,6.250000,4.847552,true,0.000000,0.000000,37.317627,20.176822,
60,e-,100.000000,100.000000,16.708148,0.060108,14,0,7.142857,6.251658,true,-0.000000,-0.000000,12.516399,24.527551,
61,e-,100.000000,100.000000,21.129853,0.050608,12,0,8.333333,7.879610,true,0.000000,0.000000,18.728341,28.283635,
62,e-,100.000000,100.000000,16.522967,0.058768,16,0,6.250000,5.452044,true,-0.000000,-0.000000,16.522967,20.830578,
63,e-,100.000000,100.000000,37.002531,0.053746,13,0,7.692308,5.729791,true,-0.000000,-0.000000,37.002531,18.952046,
64,e-,100.000000,100.000000,26.121442,0.049901,13,0,7.692308,5.123769,true,-0.000000,-0.000000,26.121442,15.915933,
65,e-,100.000000,100.000000,33.988815,0.058073,14,0,7.142857,4.516893,true,0.000000,0.000000,33.195810,16.945911,
66,e-,100.000000,30.713716,9.924116,0.030454,9,0,3.412635,1.209846,false,69.286284,0.692863,9.100349,5.249770,
67,e-,100.000000,100.000000,21.252693,0.040213,11,0,9.090909,8.764525,true,0.000000,0.000000,21.252693,29.039075,
68,e-,100.000000,100.000000,33.651554,0.063513,15,0,6.666667,4.982837,true,0.000000,0.000000,29.025155,20.678985,
69,e-,100.000000,100.000000,21.232300,0.048628,12,0,8.333333,5.366714,true,-0.000000,-0.000000,12.831761,16.874935,
70,e-,100.000000,100.000000,26.838723,0.066996,16,0,6.250000,5.080013,true,-0.000000,-0.000000,20.152706,22.056421,
